k,min_samples,eps,db_score,avg_cos_sim,avg_eucl_dist,avg_man_dist
3,3,5.177777875702205,17.64975221116773,0.3400351546664379,6.511516097610008,28.56907980408311
625,3,4.0,2.01045423164873,0.009231381447745985,6.8403367624987625,29.137021961995906
2,4,5.246262970431914,28.032883954080205,0.49233635666727465,3.7763245629417024,15.07667388003036
251,4,4.0,2.290479470107166,0.013490700949963333,6.519084552895722,27.726580865478702
1,5,5.301909218163401,38.6542280740974,0.9999999999999998,0.0,0.0
132,5,4.0,2.6944315275257376,0.026379523189030946,6.103981942102214,25.98660764144659
1,8,5.41666386410654,32.20952547213544,1.0,0.0,0.0
34,8,4.0,4.16176515727043,0.028793262762122577,5.517832361119961,23.311364270309344
1,10,5.471888884392699,30.99535387898071,1.0,0.0,0.0
24,10,4.0,4.709065897674785,0.0963289629064363,4.968602975468896,21.079940044010275
